год,Дата,Месяц,Название,Формат,Тег (курс),Линейка,Подписчики,Охват Факт,Расход,CPC,СTR,Визиты Факт,С1 Факт,Заявки Факт,С2 Факт,Оплаты Факт,Доход,CPL,ROMI,Ссылка на размещение,,,
2020,25.08.2020,август,Усачев,Интеграция,PWS,Кодинг,2 370 000,1 131 253,р.350 000,р.91,"0,34%",3842,"4,09%",157,"15,9%",25,8,р.2 229,279%,https://www.youtube.com/watch?v=GSxhvl4UbIA&feature=youtu.be,,,
2020,25.08.2020,август,The Люди,Интеграция,DSPR,Data Science,2 230 000,10 000 000,р.860 000,р.146,"0,06%",5905,"3,61%",213,"6,1%",13,8,р.4 038,53%,https://www.youtube.com/watch?v=enRlWWHEoiU&t=1325s,,,
2020,26.08.2020,август,Марианна Давтян,Интеграция,WBDS GRAF INT,Дизайн,23 000,5 000,р.10 000,р.59,"3,40%",170,"1,18%",2,"50,0%",1,2,р.5 000,740%,https://www.youtube.com/watch?v=bKuIQW1xRRw&feature=youtu.be,,,
2020,26.08.2020,август,This is хорошо,Интеграция,JAVA,Кодинг,5 750 000,300 000,р.132 000,р.210,"0,21%",629,"1,43%",9,"22,2%",2,3,р.14 667,11%,https://www.youtube.com/watch?v=w6KRytcJitQ,,,
2020,26.08.2020,август,Побединский,Интеграция,PWS,Кодинг,998 888,285 000,р.225 806,р.138,"0,58%",1639,"7,14%",117,"13,7%",16,7,р.1 930,300%,https://www.youtube.com/watch?v=CWHl2_VGYlY&feature=youtu.be,,,
2020,27.08.2020,август,гик мувис,Интеграция,GAME DEV,Кодинг,1 320 000,205 000,р.35 000,р.112,"0,15%",313,"6,07%",19,"0,0%",0,0,р.1 842,-100%,https://www.youtube.com/watch?v=W3fdXVMlRXw,,,
2020,27.08.2020,август,Dmitry Puchkov,Интеграция,PDPR,Менеджмент,1 900 000,264 000,р.80 000,р.54,"0,56%",1479,"1,96%",29,"20,7%",6,7,р.2 759,587%,https://www.youtube.com/watch?v=NTyGwWrBFO8&feature=youtu.be,,,
2020,27.08.2020,август,АПоговорить?,Интеграция,DAPR,Аналитика,1 230 000,1 600 000,р.500 000,р.577,"0,05%",866,"7,51%",65,"6,2%",4,5,р.7 692,-39%,https://www.youtube.com/watch?v=tSGoABZjoL0&feature=youtu.be&t=1935,,,
2020,28.08.2020,август,Кик Обзор,ТЕСТ ленд-тест,SF,Кодинг,971 000,144 000,р.45 000,р.134,"0,23%",335,"15,82%",53,"0,0%",0,0,р.849,-100%,https://youtu.be/lAvCG8dYtqM,,,
2020,28.08.2020,август,vectozavr,ТЕСТ зп-калькулятор,DSPR,Data Science,67 000,200 000,р.60 000,р.114,"0,26%",525,"2,86%",15,"6,7%",1,3,р.4 000,129%,https://www.youtube.com/watch?v=zRZrEv4NAZA,,,
2020,28.08.2020,август,Асафьев 2,DSPR,DSPR,Data Science,774 000,1 916 000,р.200 000,р.40,"0,26%",4944,"2,14%",106,"8,5%",9,8,р.1 887,692%,https://www.youtube.com/watch?v=cnJ2GKQN-28&feature=youtu.be,,,
2020,29.08.2020,август,Рита - Маргарита,Интеграция,WBDS GRAF INT,Дизайн,55 500,25 000,р.10 000,р.41,"0,98%",246,"1,22%",3,"33,3%",1,2,р.3 333,599%,https://www.youtube.com/watch?v=rwdsP0QnTiQ&t=231s,,,
2020,29.08.2020,август,InvestFuture,ТЕСТ зп-калькулятор,DSPR,Data Science,523 000,80 500,р.130 000,р.157,"1,03%",826,"4,36%",36,"19,4%",7,7,р.3 611,510%,https://www.youtube.com/watch?v=A8gK206VLo8&feature=youtu.be,,,
2020,30.08.2020,август,Другая история,Интеграция,IOS, Кодинг,,262 000,р.35 000,р.58,"0,23%",608,"4,93%",30,"0,0%",0,0,р.1 167,-100%,https://www.youtube.com/watch?v=xX6O1MOj_6w,,,
2020,30.08.2020,август,Неспойлер,Интеграция,WBDS,Дизайн,617 000,231 000,р.35 000,р.144,"0,11%",243,"2,47%",6,"0,0%",0,0,р.5 833,-100%,https://www.youtube.com/watch?v=QTs_zB8Ei6k,,,
2020,30.08.2020,август,Харчевников,Интеграция,PWS,Кодинг,587 000,149000,р.110 000,р.162,"0,46%",680,"5,00%",34,"0,0%",0,0,р.3 235,,https://www.youtube.com/watch?v=4g3eqkFFJro&feature=youtu.be&t=184,,,
2020,01.09.2020,октябрь,WGC,Интеграция,PWS,Кодинг,200 777,58 000,р.16 000,р.615,"0,04%",26,"0,00%",0,#DIV/0!,0,0,#DIV/0!,-100%,https://www.youtube.com/watch?v=83S46KhFKOw,,,
2020,01.09.2020,октябрь,Dagon,Интеграция,FJS,Кодинг,128 000,36 077,р.50 000,р.427,"0,32%",117,"2,56%",3,"0,0%",0,0,р.16 667,-100%,https://www.youtube.com/watch?v=WGA4Ik_-4X0&feature=youtu.be,,,
2020,01.09.2020,октябрь,Onliner,Интеграция,PWS,Кодинг,1 200 000,141 304,р.92 000,р.630,"0,10%",146,"13,01%",19,"5,3%",1,2,р.4 842,4%,https://www.youtube.com/watch?v=bKfsRXfhvIc,,,
2020,01.09.2020,октябрь,Еще не Познер,Интеграция,DAPR,Аналитика,367 000,195 000,р.250 000,р.471,"0,27%",531,"6,40%",34,"8,8%",3,4,р.7 353,7%,https://www.youtube.com/watch?v=9PoAruhq5l0,,,
2020,02.09.2020,сентябрь,Не шарю,Интеграция,DSPR,Data Science,75 000,32 000,р.15 000,р.124,"0,38%",121,"1,65%",2,"0,0%",0,0,р.7 500,-100%,https://www.youtube.com/watch?v=4tvswoLcTtQ,,,
2020,02.09.2020,октябрь,Тома Жданова,Интеграция,QAP,Кодинг,24 000,29 572,р.25 000,р.1 316,"0,06%",19,"10,53%",2,"0,0%",0,0,р.12 500,-100%,https://www.youtube.com/watch?v=_1uqcJPcVYk,,,
2020,02.09.2020,октябрь,Я так решил,интеграция,GAME DEV,Кодинг,224 000,44 939,р.50 000,р.407,"0,27%",123,"0,81%",1,"0,0%",0,0,р.50 000,-100%,https://www.youtube.com/watch?v=cx6EyP5uzko&feature=youtu.be,,,
2020,02.09.2020,сентябрь,Асафьев,ТЕСТ ленд-тест,SF,Кодинг,168 000,246 000,р.60 000,р.29,"0,83%",2049,"1,51%",31,"12,9%",4,4,р.1 935,355%,https://youtu.be/g61G8H6euLQ,,,
2020,02.09.2020,сентябрь,The Box,ТЕСТ ленд-тест,SF,Кодинг,195 000,36 000,р.66 000,р.322,"0,57%",205,"1,46%",3,"0,0%",0,0,р.22 000,-100%,https://www.youtube.com/watch?v=_BYmN0h_JSM&feature=youtu.be,,,
2020,02.09.2020,сентябрь,Ай как просто,интеграция,DSPR,Data Science,807 000,191 049,р.150 000,р.450,"0,17%",333,"3,00%",10,"30,0%",3,4,р.15 000,91%,https://www.youtube.com/watch?v=IP2P1YsH8DA,,,
2020,04.09.2020,сентябрь,Лана Глушкова,Интеграция,PM,Менеджмент,79 000,6 000,р.10 000,р.116,"1,43%",86,"0,00%",0,#DIV/0!,0,0,#DIV/0!,-100%,https://www.youtube.com/watch?v=Ste65Prxang&feature=youtu.be,,,
2020,05.09.2020,сентябрь,Кац,Интеграция,SA,Менеджмент,533 000,268 000,р.130 000,р.206,"0,24%",631,"4,91%",31,"12,9%",4,4,р.4 194,117%,https://youtu.be/clhC9w2ha2s,,,
2020,06.09.2020,сентябрь,Fake News,Интеграция,DSPR,Data Science,311 000,199 000,р.300 000,р.743,"0,20%",404,"2,72%",11,"18,2%",2,3,р.27 273,-43%,https://www.youtube.com/watch?v=DxdPaCHGPnc&feature=youtu.be&t=114,,,
2020,08.09.2020,сентябрь,MyGap,Интеграция,DAPR,Аналитика,654 000,180 000,р.55 000,р.90,"0,34%",613,"9,46%",58,"3,4%",2,3,р.948,177%,https://www.youtube.com/watch?v=2pOBHGgG2jY,,,
2020,08.09.2020,сентябрь,Dmitry Puchkov,Интеграция,GO,Кодинг,2 000 000,192 000,р.80 000,р.66,"0,63%",1217,"4,03%",49,"24,5%",12,7,р.1 633,953%,https://www.youtube.com/watch?v=UCiYCcocms0&feature=youtu.be,,,
2020,09.09.2020,сентябрь,Боевые ботаники,Интеграция,PWS,Кодинг,656 000,78 518,р.31 915,р.156,"0,26%",205,"3,90%",8,"12,5%",1,2,р.3 989,86%,https://www.youtube.com/watch?v=Bif0heIA3yI,,,
2020,10.09.2020,сентябрь,Sci One,Интеграция,JAVA,Кодинг,796 000,154 961,р.120 000,р.427,"0,18%",281,"2,85%",8,"0,0%",0,0,р.15 000,-100%,https://www.youtube.com/watch?v=kAy-fbSPoww,,,
2020,11.09.2020,сентябрь,litobzor,Интеграция,WBDS,Дизайн,42 000,15 805,р.5 000,р.60,"0,53%",84,"1,19%",1,"100,0%",1,2,р.5 000,1220%,https://www.youtube.com/watch?v=zd24pFJRkZU,,,
2020,11.09.2020,сентябрь,#ЧУДОТЕХНИКИ,Интеграция,QAP,Кодинг,130 000,23 447,р.25 000,р.625,"0,17%",40,"2,50%",1,"0,0%",0,0,р.25 000,-100%,https://www.youtube.com/watch?v=_FsNTn73W0M,,,
2020,11.09.2020,сентябрь,Собчак,Интеграция,PDPR,Менеджмент,1 670 000,855 828,р.430 000,р.473,"0,11%",910,"9,23%",84,"8,3%",7,6,р.5 119,15%,https://www.youtube.com/watch?v=xHSi7wQY9m4&feature=youtu.be,,,
2020,12.09.2020,сентябрь,notebook-31,Интеграция,GO,Кодинг,2 710 000,167 008,р.30 000,р.197,"0,09%",152,"2,63%",4,"25,0%",1,2,р.7 500,125%,https://www.youtube.com/watch?v=abYfVfG7iZU&feature=youtu.be,,,
